WARNING 2025-04-10 11:22:49,656 basehttp 103267 140266438649408 "GET /static/admin/css/login.css HTTP/1.1" 404 179
WARNING 2025-04-10 11:22:49,660 basehttp 103267 140266447042112 "GET /static/admin/css/nav_sidebar.css HTTP/1.1" 404 179
WARNING 2025-04-10 11:22:49,674 log 103267 140266430256704 Not Found: /static/admin/css/responsive.css
WARNING 2025-04-10 11:22:49,680 basehttp 103267 140266430256704 "GET /static/admin/css/responsive.css HTTP/1.1" 404 179
WARNING 2025-04-10 11:22:49,708 log 103267 140266421864000 Not Found: /static/admin/css/base.css
WARNING 2025-04-10 11:22:49,709 basehttp 103267 140266421864000 "GET /static/admin/css/base.css HTTP/1.1" 404 179
WARNING 2025-04-10 11:22:49,791 log 103267 140266413471296 Not Found: /static/admin/css/dark_mode.css
WARNING 2025-04-10 11:22:49,792 basehttp 103267 140266413471296 "GET /static/admin/css/dark_mode.css HTTP/1.1" 404 179
WARNING 2025-04-10 11:22:49,921 log 103267 140266413471296 Not Found: /static/admin/js/theme.js
WARNING 2025-04-10 11:22:49,923 log 103267 140266421864000 Not Found: /static/admin/js/nav_sidebar.js
WARNING 2025-04-10 11:22:49,925 basehttp 103267 140266413471296 "GET /static/admin/js/theme.js HTTP/1.1" 404 179
WARNING 2025-04-10 11:22:49,926 basehttp 103267 140266421864000 "GET /static/admin/js/nav_sidebar.js HTTP/1.1" 404 179
WARNING 2025-04-10 11:22:49,975 log 103267 140266405078592 Not Found: /static/admin/js/theme.js
WARNING 2025-04-10 11:22:49,976 basehttp 103267 140266405078592 "GET /static/admin/js/theme.js HTTP/1.1" 404 179
WARNING 2025-04-10 11:22:50,043 log 103267 140266396685888 Not Found: /static/admin/js/nav_sidebar.js
WARNING 2025-04-10 11:22:50,046 basehttp 103267 140266396685888 "GET /static/admin/js/nav_sidebar.js HTTP/1.1" 404 179
INFO 2025-04-10 11:24:12,295 basehttp 103267 140266421864000 "GET /admin/login/?next=/admin/ HTTP/1.1" 200 4181
WARNING 2025-04-10 11:24:12,487 log 103267 140266421864000 Not Found: /static/admin/css/base.css
WARNING 2025-04-10 11:24:12,497 basehttp 103267 140266421864000 "GET /static/admin/css/base.css HTTP/1.1" 404 179
WARNING 2025-04-10 11:24:12,896 log 103267 140266421864000 Not Found: /static/admin/css/dark_mode.css
WARNING 2025-04-10 11:24:12,898 basehttp 103267 140266421864000 "GET /static/admin/css/dark_mode.css HTTP/1.1" 404 179
WARNING 2025-04-10 11:24:13,065 log 103267 140266430256704 Not Found: /static/admin/css/nav_sidebar.css
WARNING 2025-04-10 11:24:13,066 basehttp 103267 140266430256704 "GET /static/admin/css/nav_sidebar.css HTTP/1.1" 404 179
WARNING 2025-04-10 11:24:13,093 log 103267 140266413471296 Not Found: /static/admin/css/responsive.css
WARNING 2025-04-10 11:24:13,094 basehttp 103267 140266413471296 "GET /static/admin/css/responsive.css HTTP/1.1" 404 179
WARNING 2025-04-10 11:24:13,196 log 103267 140266447042112 Not Found: /static/admin/css/login.css
WARNING 2025-04-10 11:24:13,197 basehttp 103267 140266447042112 "GET /static/admin/css/login.css HTTP/1.1" 404 179
WARNING 2025-04-10 11:24:13,864 log 103267 140266413471296 Not Found: /static/admin/js/nav_sidebar.js
WARNING 2025-04-10 11:24:13,865 basehttp 103267 140266413471296 "GET /static/admin/js/nav_sidebar.js HTTP/1.1" 404 179
WARNING 2025-04-10 11:24:14,031 log 103267 140266447042112 Not Found: /static/admin/js/theme.js
WARNING 2025-04-10 11:24:14,037 log 103267 140266430256704 Not Found: /static/admin/js/nav_sidebar.js
WARNING 2025-04-10 11:24:14,039 basehttp 103267 140266447042112 "GET /static/admin/js/theme.js HTTP/1.1" 404 179
WARNING 2025-04-10 11:24:14,041 basehttp 103267 140266430256704 "GET /static/admin/js/nav_sidebar.js HTTP/1.1" 404 179
WARNING 2025-04-10 11:24:15,552 log 103267 140266447042112 Not Found: /favicon.ico
WARNING 2025-04-10 11:24:15,554 basehttp 103267 140266447042112 "GET /favicon.ico HTTP/1.1" 404 179
INFO 2025-04-10 11:24:22,269 basehttp 103267 140266447042112 "POST /admin/login/?next=/admin/ HTTP/1.1" 200 4342
WARNING 2025-04-10 11:24:22,322 log 103267 140266447042112 Not Found: /static/admin/css/base.css
WARNING 2025-04-10 11:24:22,323 basehttp 103267 140266447042112 "GET /static/admin/css/base.css HTTP/1.1" 404 179
WARNING 2025-04-10 11:24:22,330 log 103267 140266413471296 Not Found: /static/admin/css/dark_mode.css
WARNING 2025-04-10 11:24:22,331 basehttp 103267 140266413471296 "GET /static/admin/css/dark_mode.css HTTP/1.1" 404 179
WARNING 2025-04-10 11:24:22,366 log 103267 140266421864000 Not Found: /static/admin/css/login.css
WARNING 2025-04-10 11:24:22,369 log 103267 140266438649408 Not Found: /static/admin/css/nav_sidebar.css
WARNING 2025-04-10 11:24:22,375 log 103267 140266405078592 Not Found: /static/admin/css/responsive.css
WARNING 2025-04-10 11:24:22,377 basehttp 103267 140266421864000 "GET /static/admin/css/login.css HTTP/1.1" 404 179
WARNING 2025-04-10 11:24:22,382 basehttp 103267 140266438649408 "GET /static/admin/css/nav_sidebar.css HTTP/1.1" 404 179
WARNING 2025-04-10 11:24:22,398 basehttp 103267 140266405078592 "GET /static/admin/css/responsive.css HTTP/1.1" 404 179
WARNING 2025-04-10 11:24:22,622 log 103267 140266405078592 Not Found: /static/admin/js/theme.js
WARNING 2025-04-10 11:24:22,627 log 103267 140266438649408 Not Found: /static/admin/js/nav_sidebar.js
WARNING 2025-04-10 11:24:22,629 basehttp 103267 140266405078592 "GET /static/admin/js/theme.js HTTP/1.1" 404 179
WARNING 2025-04-10 11:24:22,638 basehttp 103267 140266438649408 "GET /static/admin/js/nav_sidebar.js HTTP/1.1" 404 179
WARNING 2025-04-10 11:24:24,763 log 103267 140266421864000 Not Found: /static/admin/js/theme.js
WARNING 2025-04-10 11:24:24,766 log 103267 140266405078592 Not Found: /static/admin/js/nav_sidebar.js
WARNING 2025-04-10 11:24:24,767 basehttp 103267 140266421864000 "GET /static/admin/js/theme.js HTTP/1.1" 404 179
WARNING 2025-04-10 11:24:24,769 basehttp 103267 140266405078592 "GET /static/admin/js/nav_sidebar.js HTTP/1.1" 404 179
